Country,Year,Sex,Age,Suicides_No,Population,Suicides100kPop,HDIYear,GDPYear,GDPCapita,Generation
Antigua and Barbuda,1988,female,25-34 years,0,6041,0,0.683,398637741,6693,Boomers
Antigua and Barbuda,1988,female,35-54 years,0,6021,0,0.683,398637741,6693,Silent
Antigua and Barbuda,1988,female,5-14 years,0,6527,0,0.683,398637741,6693,Generation X
Antigua and Barbuda,1988,female,55-74 years,0,3708,0,0.683,398637741,6693,G.I. Generation
Antigua and Barbuda,1988,female,75+ years,0,1141,0,0.683,398637741,6693,G.I. Generation
Antigua and Barbuda,1988,male,15-24 years,0,7209,0,0.683,398637741,6693,Generation X
Antigua and Barbuda,1988,male,25-34 years,0,5826,0,0.683,398637741,6693,Boomers
Antigua and Barbuda,1988,male,35-54 years,0,5907,0,0.683,398637741,6693,Silent
Antigua and Barbuda,1988,male,5-14 years,0,6355,0,0.683,398637741,6693,Generation X
Antigua and Barbuda,1988,male,55-74 years,0,2813,0,0.683,398637741,6693,G.I. Generation
Antigua and Barbuda,1988,male,75+ years,0,603,0,0.683,398637741,6693,G.I. Generation
Antigua and Barbuda,1989,female,15-24 years,0,7152,0,0.683,438794778,7407,Generation X
Antigua and Barbuda,1989,female,25-34 years,0,6059,0,0.683,438794778,7407,Boomers
Antigua and Barbuda,1989,female,35-54 years,0,5969,0,0.683,438794778,7407,Silent
Antigua and Barbuda,1989,female,5-14 years,0,6621,0,0.683,438794778,7407,Generation X
Antigua and Barbuda,1989,female,55-74 years,0,3696,0,0.683,438794778,7407,G.I. Generation
Antigua and Barbuda,1989,female,75+ years,0,1195,0,0.683,438794778,7407,G.I. Generation
Antigua and Barbuda,1989,male,15-24 years,0,6927,0,0.683,438794778,7407,Generation X
Antigua and Barbuda,1989,male,25-34 years,0,5835,0,0.683,438794778,7407,Boomers
Antigua and Barbuda,1989,male,35-54 years,0,5862,0,0.683,438794778,7407,Silent
Antigua and Barbuda,1989,male,5-14 years,0,6403,0,0.683,438794778,7407,Generation X
Antigua and Barbuda,1989,male,55-74 years,0,2843,0,0.683,438794778,7407,G.I. Generation
Antigua and Barbuda,1989,male,75+ years,0,676,0,0.683,438794778,7407,G.I. Generation
Antigua and Barbuda,1990,male,35-54 years,1,5799,17.24,0.683,459469074,7744,Silent
Antigua and Barbuda,1990,female,15-24 years,0,6827,0,0.683,459469074,7744,Generation X
